0,9.0611,9.0555,2.929687e-07,1235.17,6632.29
200,6.5148,6.4728,5.888672e-05,928.57,8822.17
400,4.5688,4.5469,1.174805e-04,931.00,8799.14
600,3.8887,3.8179,1.760742e-04,928.84,8819.59
800,3.1036,3.4448,2.346680e-04,928.30,8824.77
1000,2.9598,3.2729,2.932617e-04,928.69,8821.06
1200,3.2113,3.0621,2.999623e-04,928.04,8827.25
1400,3.1710,2.9262,2.998279e-04,928.95,8818.59
1600,2.5517,2.7977,2.995962e-04,928.58,8822.07
1800,2.4365,2.7414,2.992674e-04,964.36,8494.72
2000,2.8180,2.6665,2.988417e-04,967.88,8463.84
2200,2.0964,2.6353,2.983194e-04,967.35,8468.53
2400,2.7798,2.5514,2.977010e-04,967.37,8468.35
2600,2.7094,2.5157,2.969868e-04,967.11,8470.60
2800,1.9031,2.5122,2.961773e-04,967.08,8470.89
3000,2.1707,2.4310,2.952732e-04,967.09,8470.74
3200,2.0707,2.4259,2.942751e-04,967.42,8467.85
3400,2.5865,2.3869,2.931837e-04,967.37,8468.28
3600,2.5466,2.3687,2.919999e-04,967.20,8469.82
3800,2.5892,2.3330,2.907243e-04,967.31,8468.85
4000,1.9896,2.3321,2.893581e-04,967.21,8469.74
4200,2.5452,2.2989,2.879021e-04,967.70,8465.40
4400,1.7847,2.3065,2.863575e-04,966.98,8471.76
4600,1.9653,2.2853,2.847253e-04,967.12,8470.51
4800,1.9123,2.2534,2.830067e-04,967.00,8471.58
5000,2.4130,2.2555,2.812029e-04,968.53,8458.20
5200,1.8897,2.2604,2.793153e-04,967.25,8469.35
5400,2.4349,2.2142,2.773453e-04,967.19,8469.92
5600,2.3786,2.2029,2.752941e-04,966.96,8471.89
5800,2.3458,2.1951,2.731634e-04,967.04,8471.19
6000,2.1684,2.1763,2.709546e-04,967.14,8470.35
6200,1.7525,2.1864,2.686694e-04,967.11,8470.64
6400,2.2557,2.1671,2.663093e-04,967.28,8469.13
6600,1.7724,2.1710,2.638762e-04,967.18,8470.01
6800,2.2843,2.1373,2.613717e-04,967.15,8470.22
7000,1.7700,2.1406,2.587977e-04,967.30,8468.90
7200,1.6650,2.1482,2.561560e-04,967.13,8470.41
7400,1.5788,2.1354,2.534485e-04,967.23,8469.54
7600,1.6380,2.1228,2.506773e-04,967.22,8469.61
7800,2.1811,2.1027,2.478441e-04,967.02,8471.35
8000,1.8447,2.1010,2.449512e-04,967.06,8471.08
8200,1.8699,2.0833,2.420007e-04,967.03,8471.30
8400,1.7810,2.0891,2.389945e-04,967.18,8470.00
8600,1.5907,2.0785,2.359350e-04,966.96,8471.88
8800,1.8550,2.0772,2.328243e-04,967.29,8469.04
9000,1.5853,2.0981,2.296646e-04,967.10,8470.70
9200,1.6555,2.0600,2.264583e-04,967.10,8470.66
9400,1.5089,2.0570,2.232076e-04,967.42,8467.92
9600,1.6959,2.0504,2.199150e-04,967.33,8468.68
9800,2.2639,2.0454,2.165827e-04,968.30,8460.18
10000,1.6996,2.0422,2.132132e-04,967.28,8469.14
10200,1.6876,2.0535,2.098089e-04,967.03,8471.31
10400,1.8087,2.0228,2.063722e-04,966.75,8473.79
10600,1.6023,2.0349,2.029058e-04,967.37,8468.34
10800,1.5818,2.0344,1.994119e-04,967.11,8470.62
11000,1.5065,2.0118,1.958933e-04,967.15,8470.25
11200,1.6091,2.0162,1.923523e-04,967.19,8469.90
11400,1.6893,2.0038,1.887916e-04,967.16,8470.20
11600,2.1790,2.0009,1.852138e-04,967.24,8469.43
11800,1.8945,2.0121,1.816213e-04,967.31,8468.88
12000,1.6616,2.0067,1.780169e-04,967.21,8469.76
12200,1.5874,1.9919,1.744031e-04,967.28,8469.10
12400,2.2069,1.9916,1.707824e-04,967.31,8468.85
12600,2.1668,1.9815,1.671577e-04,967.12,8470.49
12800,2.1168,1.9794,1.635313e-04,967.38,8468.22
13000,2.1261,1.9779,1.599060e-04,967.30,8468.93
13200,1.6938,1.9731,1.562844e-04,969.10,8453.25
13400,1.7495,1.9862,1.526691e-04,967.24,8469.42
13600,1.7177,1.9732,1.490627e-04,967.24,8469.47
13800,1.7008,1.9651,1.454678e-04,967.21,8469.70
14000,1.9068,1.9641,1.418869e-04,967.14,8470.37
14200,1.6389,1.9586,1.383228e-04,967.34,8468.58
14400,1.5624,1.9632,1.347779e-04,967.10,8470.71
14600,1.4112,1.9544,1.312548e-04,967.01,8471.50
14800,1.5210,1.9500,1.277560e-04,968.45,8458.90
15000,1.5144,1.9573,1.242842e-04,967.18,8470.00
15200,2.1767,1.9364,1.208417e-04,966.97,8471.80
15400,1.6342,1.9398,1.174310e-04,967.24,8469.46
15600,1.4840,1.9370,1.140547e-04,966.91,8472.32
15800,1.9450,1.9320,1.107152e-04,967.18,8470.02
16000,1.5891,1.9331,1.074148e-04,967.13,8470.47
16200,1.4465,1.9306,1.041560e-04,966.97,8471.85
16400,1.4589,1.9326,1.009411e-04,967.25,8469.36
16600,1.4806,1.9221,9.777237e-05,967.18,8470.03
16800,2.0070,1.9134,9.465218e-05,967.14,8470.35
17000,2.1542,1.9145,9.158275e-05,967.58,8466.51
17200,1.7260,1.9173,8.856629e-05,967.17,8470.06
17400,1.7261,1.9147,8.560499e-05,967.22,8469.64
17600,2.0398,1.9091,8.270097e-05,967.33,8468.71
17800,1.5402,1.9106,7.985634e-05,967.33,8468.69
18000,2.0330,1.9038,7.707315e-05,967.27,8469.24
18200,2.0697,1.9011,7.435340e-05,967.07,8470.93
18400,2.1632,1.8969,7.169905e-05,967.37,8468.33
18600,2.0840,1.8975,6.911203e-05,967.32,8468.75
18800,2.0150,1.8946,6.659420e-05,966.98,8471.77
19000,2.0968,1.8912,6.414737e-05,967.23,8469.54
19200,2.1117,1.8892,6.177332e-05,967.14,8470.37
19400,1.9461,1.8884,5.947375e-05,967.37,8468.29
19600,1.5454,1.8854,5.725032e-05,968.68,8456.83
19800,1.5511,1.8855,5.510464e-05,967.14,8470.29
20000,2.0896,1.8842,5.303826e-05,966.87,8472.69
20200,1.4824,1.8819,5.105266e-05,967.17,8470.07
20400,1.5306,1.8813,4.914929e-05,967.11,8470.56
20600,1.4505,1.8781,4.732951e-05,967.16,8470.16
20800,1.3512,1.8765,4.559463e-05,967.08,8470.88
21000,1.5886,1.8777,4.394591e-05,966.99,8471.62
21200,2.0947,1.8730,4.238455e-05,967.19,8469.94
21400,1.5529,1.8729,4.091165e-05,967.21,8469.72
21600,2.0719,1.8687,3.952829e-05,967.03,8471.27
21800,1.6423,1.8679,3.823547e-05,967.08,8470.84
22000,1.4645,1.8681,3.703412e-05,934.71,8764.25
22200,1.4339,1.8657,3.592510e-05,929.15,8816.62
22400,2.0048,1.8638,3.490922e-05,929.03,8817.81
22600,2.0971,1.8644,3.398720e-05,928.99,8818.21
22800,1.3533,1.8639,3.315972e-05,928.96,8818.50
23000,1.9984,1.8638,3.242737e-05,928.86,8819.41
23200,1.5187,1.8645,3.179068e-05,953.67,8590.00
23400,2.0058,1.8622,3.125011e-05,967.21,8469.74
23600,1.3897,1.8623,3.080604e-05,967.01,8471.44
23800,1.5439,1.8632,3.045881e-05,967.23,8469.54
24000,1.3553,1.8614,3.020866e-05,967.47,8467.41
24200,2.0803,1.8597,3.005576e-05,967.43,8467.77
24400,1.5537,1.8600,3.000024e-05,967.16,8470.15
24413,2.0089,1.8594,3.000000e-05,989.39,8279.87
